PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Schnupperkurspreis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
PoleathletiX,29227,Industriestraße 10 , 29227 Celle,"Du liebst das Tanzen und Poledance, oder bist auf der Suche nach einem idealen Ort, um diesen Sport zu erlernen und zu trainieren? Dann bist du beim PoleathtetiX in Altencelle genau richtig, denn hier bekommst du die Möglichkeit, in einer angenehmen und motivierenden Atmosphäre, Poledance mithilfe von professioneller Betreuung zu erlernen! Dafür stehen dir im PoleathletiX zahlreiche Poledance-Stangen zur Verfügung. Komme ins PoleathletiX und erreiche hier deine persönlichen Trainingsziele!","3,00 €","3,00 €",4.9,29 Rezensionen, mail@poleathletix.de,http://www.poleathletix.de,4915111003331,https://www.eversports.de/s/poleathletix,2023-04-21 00:58:12
PoleCreation,87435,Immenstädter Straße 11 , 87435 Kempten (Allgäu),"Du bist neu hier? Melde dich bitte ausschließlich vorab per Mail!
polecreatinstudio@gmail.com
Herzlich Willkommen bei PoleCreation! Lerne dich selbst zu kreieren!
Dein Studio in Kempten für Poledance, Fitness, Flexi und Akrobatik!​
Dich erwartet in stets freundlicher und motivierender Atmosphäre ein Training ohne Druck.
Egal ob Anfänger oder Fortgeschrittener, wenn auch Du ganzheitlich trainieren und dich lieben lernen möchtest, dann bist du hier genau richtig!
Bei Interesse für Probetermine oder neue Anfängerkurse schreibe und gerne eine E-Mail an: polecreationstudio@gmail.com.
Besuch uns auch gerne auf unserer Homepage:
www.polecreation.de","12,00 €","12,00 €",5.0,17 Rezensionen, polecreationstudio@gmail.com,http://www.polecreation.de,0,https://www.eversports.de/s/polecreation,2023-04-21 00:58:13
POLEDANCE NRW,40237,Rethelstraße 28 Hof , 40237 Düsseldorf,"Unser über 500 Quadratmeter großes Studio mit zwei Trainingsräumen bietet beste Trainingsvoraussetzungen speziell für Pole Dance und weitere Sportarten wie Tanz, Yoga oder Pilates.
Große Fensterfronten fangen tagsüber den Sonnenschein ein, abends erzeugt die indirekte Beleuchtung ein angenehmes Licht während die Fußbodenheizung an kalten Tagen für die optimale Wohlfühl-Temperatur sorgt.
Der weite Abstand zwischen den Stangen lässt genug Bewegungsfreiheit zu, so dass Du Deinen gesamtem Bewegungsradius nutzen kannst, die große Spiegelfläche gibt Dir visuell direktes Feedback über Deine Bewegungsausführungen, was Deine Trainings-Fortschritte noch mehr fördert indem es den Lernprozess beschleunigt!","20,00 €","20,00 €",4.9,42 Rezensionen, office@poledance.nrw,https://www.poledance.nrw,+49 1721010400,https://www.eversports.de/s/poledance-nrw,2023-04-21 00:58:17
PoleRoom Braunschweig,38118,Büchnerstraße 10 , 38118 Braunschweig,"Das Luftakrobatik Studio ""PoleRoom"" befindet sich im Herzen Braunschweigs, im westlichen Ringgebiet. Auf zwei Etagen mit 400 Quadratmetern findest du Kurse wie Poledance, Polefitness, Stretching, Aerial Hoop, Aerial Silks/ Vertikaltuch und Aerosling Fitness (funktionelles Schlingentraining). Das Studio in Braunschweig ist leicht mit der Straßenbahn zu erreichen, aber auch Parkplätze stehen dir zur Verfügung. Darüber hinaus werden Polepartys und Personal Trainings angeboten. Für Veranstaltungen jeglicher Art kann man auch einen Show-Auftritt buchen. Alle TrainerInnen haben eine fundierte fachliche Ausbildung.","15,00 €","15,00 €",4.9,37 Rezensionen, info@poleroom.de,http://www.poleroom.de/,+49 1797431729,https://www.eversports.de/s/poleroom-braunschweig,2023-04-21 00:58:16
Pure Motion Kiel,24116,Eichkamp 1 , 24116 Kiel,"Das Pure Motion Kiel findest du in Eichkamp 1 , 24116 Kiel und hat für dich Montag bis Sonntag geöffnet. Neben Yoga und Tanz ist das Studio vor allem auf Pole Dance und Aerial Akrobatik spezialisiert. Kurse werden auch für Männer angeboten!
Hast du also Spaß an rhythmischer Bewegung und willst etwas für deinen Körper tun dann komm vorbei ins Pure Motion Kiel und hab Spaß mit den anderen.","0,00 €","0,00 €",4.9,72 Rezensionen, info@puremotion-kiel.de,https://puremotion-kiel.de,4943138585048,https://www.eversports.de/s/pure-motion-kiel,2023-04-21 00:58:15
Royal Pole,3011,Waaghausgasse 3 , 3011 Bern,"HERZLICH WILLKOMMEN BEI UNS IM ROYAL POLE!
Bist du auf der Suche nach einer neuen herausfordernden sportlichen Leidenschaft, bei der der Spassfaktor immer noch vorhanden bleibt und es dir nicht langweilig wird? Dann bist du bei uns goldrichtig! Royal Pole gibt dir nämlich nicht nur die Möglichkeit neue spannende und vielfältige Luftdisziplinen kennen zu lernen, sondern auch Dich selbst und Deine körperlichen Leistungen neu zu entdecken und zu entfalten!
Unser super motiviertes Team von qualifizierten und erfahrenen Instruktorinnen begleitet und unterstützt dich professionell, kompetent und mit grosser Leidenschaft und Sympathie in dieser Entdeckungsreise der Poledance und der Luftakrobatikdisziplinen. Egal ob du alt oder jung bist, weiblich oder männlich, sportlich oder nicht, bei uns sind alle willkommen: denn Pole, Hoop, Silks, Tanz und Beweglichkeit haben kein Alter, wenn man der Überzeugug ist, Bewegung hält den Körper und die Seele jung!
In unserem stilvoll und hochwertig ausgestattetem Pole Dance Studio sind Qualität, Sicherheit und individuelle Förderung gross geschrieben: unsere grosszügigen 90 Min. Lektionen, eine maximale Teilnehmeranzahl von 8-9 Personen und Kurse in denen du deine Stange nur für Dich hast und sie nicht teilen musst stellen sicher, dass wir unseren Grundsätzen gerecht werden.
Wir werden dich vielleicht mal an deine Grenzen bringen, ganz sicher aber, werden wir dich so an deine Ziele bringen! ;-)
Na, Lust bekommen bei uns mal reinzuschauen? Dann denk nicht mehr lange nach und melde Dich gleich für eine Probelektion an, denn bereits hier erwartet dich der erste Vorteil: du zahlst für deine erste nur 5 Franken!
Helga & das ganze RP-Team","5,00 CHF","5,00 CHF",4.9,17 Rezensionen, info@royalpole.ch,http://www.royalpole.ch/,0,https://www.eversports.de/s/royal-pole,2023-04-21 00:58:12
schwerelos Münster,48163,Weseler Straße 675D , 48163 Münster,"Komm ins schwerelos und lerne mit uns an der Pole, im Luftring, im Tuch oder beim Yoga zu schweben!
Luftakrobatik ist nur was für Artisten? Stimmt nicht! Mit den Kursen im schwerelos kann jeder Luftakrobatik lernen und eine neue Leidenschaft entdecken. Probier's doch mal aus! Unsere ausgebildeten Trainer:innen achten auf levelgerechte Kursinhalte, detaillierte, technische Erklärungen und die richtige Hilfestellung. Uns liegt Euer Spaß im Kurs, Euer Fortschritt und ein gesundes Training in kleinen Gruppen besonders am Herz!
Das Herz unserer Kurse bildet die Luftakrobatik an der Pole, im Hoop und im Tuch. Luftakrobatik fordert Kraft, Beweglichkeit und Koordination und ist ein abwechslungsreiches Training für den ganzen Körper. Damit das noch besser klappt ergänzen Yoga, Beweglichkeits- und Krafttraining unsere Kurse.
Yoga und Luftakrobatik passen ganz wunderbar zusammen. Mit Yoga wirst Du nicht nur fit und beweglich, sondern lernst den Kopf auszuschalten, Dich besser zu konzentrieren und in die Ruhe zu kommen. Das hilft nicht nur für eine komplexe Sportart, wie Luftakrobatik, sondern lässt Dich entspannter durch Dein Leben gehen. Neben Yoga findest Du Fitness-Kurse in unserem Kursplan, die Dich stärker und beweglicher machen - eine wichtige Basis für Luftakrobatik, für andere Sportarten und Deine Gesundheit. Unsere Yoga- und Fitness-Kurse kannst Du auch besuchen, wenn Du keine Luftakrobatik-Kurse besuchst. Beachte die günstigere Abos und Karten für Yoga & Fitness.
Last but not least: Mit Chair Dance, Floorwork und Twerk bieten wir auf regelmäßiger und unregelmäßiger Basis spezielle Tanzkurse an, die Tanz mit akrobatischen Elementen verbinden.","6,00 €","6,00 €",4.8,6 Rezensionen, kontakt@schwerelos-tanzstudio.de,http://schwerelos-tanzstudio.de/,+49 015234012095,https://www.eversports.de/s/schwerelos-muenster,2023-04-21 00:58:15
Schönheitstanz Studio,10117,Charitestraße 4 , 10117 Berlin,"Das Schönheitstanzstudio bringt allen Teilnehmerinnen unabhängig von Alter und körperlicher Verfassung auf charmante und herzliche Art folgende Tanzarten bei bei: Pole Dance, Burlesque, Chair Dance, Lap Dance, French Cabaret, Twerking, Stretching, Yoga, High Heel Dance Kurse, Floorwork Kurse und mehr.
Das Studio liegt inmitten renommierter Nachbarschaft im Herzen von Mitte, wo Kultur, Unterhaltung und Businessleben aufeinander treffen. Interessentinnen erwarten zwei geschmackvoll eingerichtete Räume, die im Stil an die „alten Zeiten” des Schönheitstanzes erinnern.
Die regelmäßig stattfindenden Schnupperkurse sind eine entspannte Möglichkeit, herauszufinden, welche Form des Tanzens die richtige ist. Neben dem Grundangebot werden immer wieder Specials und Ergänzungskurse angeboten, in denen die eigenen Fertigkeiten und Trainingsergebnisse verfeinert und ausgebaut werden.
Studio Schönheitstanz bietet seit 2008 erfolgreich einen Wohlfühlraum für alle Frauen, um verschiedene sinnliche, sportlich-ästhetische, erotische Tanzarten zu erlernen, sich selbst kennen zu lernen, neue Grenzen zu setzen, einfach Spass zu haben ohne Wertungen und sich verdammt gut zu fühlen. Aufgrund von großer Nachfrage bietet das Studio allen Männern und denen, die Ihre feminine sinnliche Seite ausleben möchten auch die Möglichkeit zu Ihnen zu kommen und verschiedene Kurse auszuprobieren, um ein besseres Körpergefühl zu gewinnen und sich fit zu halten in einem sicheren Wohlfühlraum.","10,00 €","10,00 €",5.0,33 Rezensionen, studio@schoenheitstanz.de,https://schoenheitstanz.de,+49 016099746437,https://www.eversports.de/s/schoenheitstanz-studio,2023-04-21 00:58:22
Seemannsbraut Poledance,24941,Ochsenweg 27-29 , 24941 Flensburg,"Moin und willkommen an Bord in unserem Poledance Studio Seemannsbraut.
Auf 200qm kannst du dich in unserem maritimen Studio so richtig auspowern und mit viel Freude deinem Hobby nachgehen. Hier findest du alles, was dein Tänzerherz sich wünscht.
Aufgeteilt in 2 Trainingsräumen bieten wir dir neben 9 Poledance Stangen auch Aerial Silk, Aerial Hoop und viele andere Kurse an, die dich zum schwitzen bringen und bei denen du mit viel Spaß deine Flexibilität verbessern, sowie deine Kondition und Kraft aufbauen kannst.
Polesport, Klimmzugstangen, Sprossenwände, Gewichte, Yoga und viele andere Kurse mit unserer tollen Trainercrew warten auf dich.
Unsere qualifizierten Trainer stehen dir jederzeit mit Rat und Tat zur Seite und helfen dir, dich stetig zu verbessern und Erfolgserlebnisse zu erzielen.
In unserer maritimen Lounge kannst du Getränke und Snacks zu dir nehmen und in unserem Shop stöbern.
Für dich stehen 2 Umkleiden und sanitäre Anlagen bereit.
Schau mal rein und werde ein Teil der Seemannsbraut- Familie. Egal ob Mann, Frau oder Divers, bei uns an Bord ist jeder willkommen. Auch das Alter spielt keine Rolle.
Wir freuen uns auf dich!
Komm an Bord.
Unsere Mitgliedschaften kannst du vor Ort im Studio abschließen oder schreibe uns eine mail. Mit den ALL Inclusive Mitgliedschaften kannst du alle Angebote unbegrenzt buchen.
Alternativ haben wir auch ALL Inclusive 10-er Karten für dich.","15,00 €","15,00 €",4.9,34 Rezensionen, seemannsbraut-poledance@web.de,http://www.seemannsbraut-poledance.de,0,https://www.eversports.de/s/seemannsbraut-poledance,2023-04-21 00:58:21
Star Poledance,53919,Rudolf-Diesel-Straße 6, 53919 Weilerswist,"Entdecke Poledance als deine neue Leidenschaft!
In kleinen Gruppen lernst du den den besten Sport der Welt und verbesserst so nicht nur deine Fitness, sondern auch dein Verhältnis zum eigenen Körper. Und das mit viel Spaß und Abwechslung!
Das Studio in Weilerswist ist sowohl mit dem Auto als auch mit der Bahn schnell erreichbar aus Köln, dem Rhein-Erft-Kreis sowie der Eifel.
Wähle aus einer Vielzahl an Kursen, die sich perfekt ergänzen.
Tanz' dich fit - Wecke den Star in dir!","45,00 €","45,00 €",5.0,14 Rezensionen, tanja@star-poledance.de,http://www.star-poledance.de,+49 176 456 51 486,https://www.eversports.de/s/star-poledance,2023-04-21 00:58:18
Vertical - Pole Aerial Dance,63741,Mühlstraße 100 , 63741 Aschaffenburg,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.","15,00 €","15,00 €",4.9,19 Rezensionen, info@vertical-ab.de,https://www.vertical-ab.de/,0157 38823454,https://www.eversports.de/s/vertical-pole-aerial-dance-1,2023-04-21 00:58:14
Yoga and Pole Art by Selina,53783,Zum Wingert 10 , 53783 Eitorf,"Yoga and Pole Art by Selina bietet dir Online Live Klassen (inkl. 24h Aufzeichnungen), Intensivkurse, Workshops und Personal Training in folgenden Bereichen an:
· Hatha Yoga
· Vinyasa Yoga
· Yoga Rad (auch bekannt als Yoga Wheel) für Einsteiger und Fortgeschrittene
· Aerial Yoga
· Pole Trick Training
· Spinning Pole Combos Einsteiger
· Spinning Pole Combos Intermediate
· Splits on Pole Intermediate
· Flexi Pole Tricks
· Krafttraining und Trainingsperiodisierung
· Krafttraining an der Stange
Zudem bietet dir Yoga and Pole Art by Selina zahlreiche Aufzeichnungen und Video Kurse im Pole Sport und Yoga Bereich.","24,00 €","24,00 €",5.0,49 Rezensionen, yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina,2023-04-21 00:58:13
aerialflow,45894,Pfefferackerstraße 2A , 45894 Gelsenkirchen,"Das aerialflow in Gelsenkirchen-Buer lädt dich herzlich zu schweißtreibenden Trainingseinheiten in modernem Ambiente ein. Hier wird dir maximaler Trainingserfolg durch Training in kleinen Lerngruppen mit professioneller Betreuung gewährleistet. Egal, ob Yoga, Poledance, Tanzen oder Fitnessworkouts - belege verschiedenste Kurse für unterschiedliche Niveauklassen und arbeite hochintensiv und effektiv an deinen persönlichen Trainingszielen. Komme ins aerialflow und trainiere hier über den Dächern von Gelsenkirchen-Buer in einer angenehmen und motivierenden Atmosphäre!","10,00 €","10,00 €",4.8,48 Rezensionen, info@aerialflow.de,http://www.aerialflow.de,+49 (0) 209 88000403,https://www.eversports.de/s/aerialflow,2023-04-21 00:58:15
AIRobics,22081,Holsteinischer Kamp 58 , 22081 Hamburg,"Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!","15,00 €","15,00 €",4.9,45 Rezensionen, dance@airobics.de,https://airobics.de/,+49 15117626559,https://www.eversports.de/s/airobics,2023-04-21 00:58:11
Annaconda Pole & Fitness,50827,Venloer Straße 601-603, 50827 Köln,"Annaconda Pole&Fitness bietet Kurformate für den Pole-Sport sowie Stretching an.
Was ist Pole-Sport und für wen ist es geeignet?
Der Pole-Sport ist eine akrobatische Sportart, der an einer vertikalen Stange ausgeübt wird und Kraft, Flexibilität sowie Koordination miteinander vereint. Dieser Sport ist das effektivste Tanzkörper-Training und bringt viel Spaß. Grundsätzlich ist der Sport für jeden jeglicher Altersgruppe geeignet sofern die gesundheitlichen Vorraussetzungen erfüllt sind.
Welche Kurse werden angeboten?
Die Pole-Sport Kurse sind in PoleFitness Kurse unterschiedlicher Level (Grundkurse), PoleAcrobatics (Akrobatische/Turnerische Elemente), PolePower (Kraft-Kondition) und PoleFlexibility (Spezielles Dehnen für den PoleSport) unterteilt. Zudem gibt es allgemeine Stretching Kurse für die Verbesserung der allgemeinen Beweglichkeit.
Woher weiß ich, in welchen Kursen ich trainieren kann?
Schau dir dazu das Kurskonzept auf der Website an. Dort sowie in den Kursbeschreibungen hier siehst du immer, welche Vorraussetzungen erfüllt sein müssen.","20,00 €","20,00 €",5.0,29 Rezensionen, annacondapolefitness@gmail.com,https://www.annaconda-polefitness.de,+49 1743059888,https://www.eversports.de/s/annaconda-pole-and-fitness,2023-04-21 00:58:19
BALANCE Neumarkt,92318,Deininger Weg 94 , 92318 Neumarkt in der Oberpfalz,"BALANCE Neumarkt ist ein Kursstudio mit einem sehr breiten Online- und Studioprogramm. Es befindet sich in Neumarkt in der Oberpfalz, unweit von der Bushaltestelle Regensburger Straße. Angeboten werden Tanzkurse (Jazz Dance, Dance Kids, Streedance & Funky Jazz), Poledance, Yoga, Pilates, Sings und vieles mehr. Bei BALANCE Neumarkt werden sowohl regelmäßige Klassen als auch aufbauende Kurse und einmalige Workshops angeboten. Seit 2020 steht allen Kunden eine Online-Videothek zur Verfügung. Videos können einzeln gekauft oder mit dem entsprechenden Service erworben werden.","0,00 €","0,00 €",4.9,92 Rezensionen, studio@balance-neumarkt.de,http://www.balance-neumarkt.de,+49 160 80 20 246,https://www.eversports.de/s/balance-neumarkt,2023-04-21 00:58:23
Da Becca Flow and Fit,44651,Eickeler Markt 3A , 44651 Herne,"Für Neukunden-bitte eine Email bei Interesse an unseren Kursen an info@dabecca.de .
Da Becca Flow and Fit - wir heissen Dich herzlich willkommen in unserem wunderschönen Pole/Floorwork/ Tanzstudio. Hier wird wert auf persönliche und kleine Lerngruppen gelegt und Dir ein Safespace für Frauen mit professioneller Betreuung geboten. Trainingserfolge mit Spass , viel Musik, Tanzen und auch schweisstreibenden Stretching und Choreos. Mal sensual, mal rockig , mal contemporary . Wir haben Dir im kleinen rahmen viel zu bieten . Wir freuen uns auf das Tanzerlebnis mit Dir oder auch in unseren Mobility Kursen mit Dir an Deiner flexibilität und Kraft zu arbeiten !!!
Wir arbeiten mit Flatrates und 10 und 5 er Karten daher seid euch bitte im klaren das nicht immer gewährleistet ist das ihr euren Wunschkurs jede Woche belegen könnt dafür aber bis zu 80 Kurse im Monat zur Auswahl habt !!","49,00 €","49,00 €",5.0,21 Rezensionen, info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit,2023-04-21 00:58:19
