PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
Pura Studio,52477,Schaufenberger Straße 61 , 52477 Alsdorf,"Pura ist ein Yoga , Stretching , Poledance und Aerial Hoop Studio in Alsdorf.
Wir bieten unsere Kurse unter professioneller Anleitung an.
Ob Probestunden,Einzeltickets,10er Karten, Abos, Privatstunden, Workshops, Pole Parties, Junggesellinnen Abschiede oder Fotoshootings, wir haben für jeden das richtige Angebot.
Wir bieten ein modernes und attraktives Studio mit zwei Kursräumen und auch für das passende Equipment der jeweiligen Kurse ist gesorgt.
Du brauchst also nichts weiter als vorbei zu kommen und dich von unserer Leidenschaft anstecken zu lassen.
Wir sind überzeugt, dass du durch das Training in unserem Studio ein erhöhtes Selbstbewusstsein, eine verbesserte körperliche Fitness und eine größere mentale Stärke erreichen wirst.",0,5.0,60 Rezensionen, info@pura-studio.de,http://www.pura-studio.de,+49 1772836563,https://www.eversports.de/s/pura-studio,2023-05-05 17:55:39
PoleCreation,87435,Immenstädter Straße 11 , 87435 Kempten (Allgäu),"Du bist neu hier? Melde dich bitte ausschließlich vorab per Mail!
polecreatinstudio@gmail.com
Herzlich Willkommen bei PoleCreation! Lerne dich selbst zu kreieren!
Dein Studio in Kempten für Poledance, Fitness, Flexi und Akrobatik!​
Dich erwartet in stets freundlicher und motivierender Atmosphäre ein Training ohne Druck.
Egal ob Anfänger oder Fortgeschrittener, wenn auch Du ganzheitlich trainieren und dich lieben lernen möchtest, dann bist du hier genau richtig!
Bei Interesse für Probetermine oder neue Anfängerkurse schreibe und gerne eine E-Mail an: polecreationstudio@gmail.com.
Besuch uns auch gerne auf unserer Homepage:
www.polecreation.de",0,5.0,17 Rezensionen, polecreationstudio@gmail.com,http://www.polecreation.de,0,https://www.eversports.de/s/polecreation,2023-05-05 17:55:41
Da Becca Flow and Fit,44651,Eickeler Markt 3A , 44651 Herne,"Für Neukunden-bitte eine Email bei Interesse an unseren Kursen an info@dabecca.de .
Da Becca Flow and Fit - wir heissen Dich herzlich willkommen in unserem wunderschönen Pole/Floorwork/ Tanzstudio. Hier wird wert auf persönliche und kleine Lerngruppen gelegt und Dir ein Safespace für Frauen mit professioneller Betreuung geboten. Trainingserfolge mit Spass , viel Musik, Tanzen und auch schweisstreibenden Stretching und Choreos. Mal sensual, mal rockig , mal contemporary . Wir haben Dir im kleinen rahmen viel zu bieten . Wir freuen uns auf das Tanzerlebnis mit Dir oder auch in unseren Mobility Kursen mit Dir an Deiner flexibilität und Kraft zu arbeiten !!!
Wir arbeiten mit Flatrates und 10 und 5 er Karten daher seid euch bitte im klaren das nicht immer gewährleistet ist das ihr euren Wunschkurs jede Woche belegen könnt dafür aber bis zu 80 Kurse im Monat zur Auswahl habt !!",0,5.0,21 Rezensionen, info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit,2023-05-05 17:55:41
Vertical - Pole Aerial Dance,63741,Mühlstraße 100 , 63741 Aschaffenburg,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,4.9,20 Rezensionen, info@vertical-ab.de,https://www.vertical-ab.de/,0157 38823454,https://www.eversports.de/s/vertical-pole-aerial-dance-1,2023-05-05 17:55:42
schwerelos Münster,48163,Weseler Straße 675D , 48163 Münster,"Komm ins schwerelos und lerne mit uns an der Pole, im Luftring, im Tuch oder beim Yoga zu schweben!
Luftakrobatik ist nur was für Artisten? Stimmt nicht! Mit den Kursen im schwerelos kann jeder Luftakrobatik lernen und eine neue Leidenschaft entdecken. Probier's doch mal aus! Unsere ausgebildeten Trainer:innen achten auf levelgerechte Kursinhalte, detaillierte, technische Erklärungen und die richtige Hilfestellung. Uns liegt Euer Spaß im Kurs, Euer Fortschritt und ein gesundes Training in kleinen Gruppen besonders am Herz!
Das Herz unserer Kurse bildet die Luftakrobatik an der Pole, im Hoop und im Tuch. Luftakrobatik fordert Kraft, Beweglichkeit und Koordination und ist ein abwechslungsreiches Training für den ganzen Körper. Damit das noch besser klappt ergänzen Yoga, Beweglichkeits- und Krafttraining unsere Kurse.
Yoga und Luftakrobatik passen ganz wunderbar zusammen. Mit Yoga wirst Du nicht nur fit und beweglich, sondern lernst den Kopf auszuschalten, Dich besser zu konzentrieren und in die Ruhe zu kommen. Das hilft nicht nur für eine komplexe Sportart, wie Luftakrobatik, sondern lässt Dich entspannter durch Dein Leben gehen. Neben Yoga findest Du Fitness-Kurse in unserem Kursplan, die Dich stärker und beweglicher machen - eine wichtige Basis für Luftakrobatik, für andere Sportarten und Deine Gesundheit. Unsere Yoga- und Fitness-Kurse kannst Du auch besuchen, wenn Du keine Luftakrobatik-Kurse besuchst. Beachte die günstigere Abos und Karten für Yoga & Fitness.
Last but not least: Mit Chair Dance, Floorwork und Twerk bieten wir auf regelmäßiger und unregelmäßiger Basis spezielle Tanzkurse an, die Tanz mit akrobatischen Elementen verbinden.",0,4.9,7 Rezensionen, kontakt@schwerelos-tanzstudio.de,http://schwerelos-tanzstudio.de/,+49 015234012095,https://www.eversports.de/s/schwerelos-muenster,2023-05-05 17:55:42
FEEL GOOD FACTORY: Pole • Stretch • Fly,22081,Holsteinischer Kamp 37 , 22081 Hamburg,"Die FEEL GOOD FACTORY ist ein Tanzstudio mit dem Schwerpunkt auf Pole Dance, Exotic Pole und Flexibility Training. Es ist aus dem Bedürfnis heraus entstanden, unserer Lieblingsbeschäftigung nachzugehen und der Freude daran, sie mit Gleichgesinnten zu teilen.
Unser kompetentes Team, zwei lichtdurchflutete Studios mit 3,15 m hohen Decken und professionelles Equipment schaffen die ideale Trainings-Location im Herzen Hamburgs, um Dich aus dem turbulenten Alltag zu holen.
Dank des stufenweise aufgebauten Lehrplans kannst du ohne jegliche Vorkenntnisse einsteigen.",0,5.0,1 Rezensionen, team@feelgoodfactory-hamburg.de,http://www.feelgoodfactory-hamburg.de,0,https://www.eversports.de/s/feel-good-factory-pole-stretch-fly,2023-05-05 17:55:43
Flexx Arts - Aerial Dance & Fitness,87700,Rostocker Weg 14 , 87700 Memmingen,"Unsere Flexx Arts Studios findest du in Memmingen (Rudolf-Diesel-Straße 12, 87700 Memmingen). Im Studio unterrichten wir Poledance & -fitness, Workout und Flexibility Classes. Die Kurse finden stets in kleinen Gruppen mit max. 10 Teilnehmern statt und schaffen so eine private und entspannte Trainingsatmosphäre. Komm vorbei ins Flexx Arts!
Infos zu unseren Kursen und Klassen findet ihr auf unserer Homepage www.flexxarts.de
Für alle News und Infos folge uns auf Instagram: @flexxarts",0,4.9,19 Rezensionen, info@flexxarts.de,http://www.flexxarts.de,+49 1511 7642 817,https://www.eversports.de/s/flexx-arts-aerial-dance-and-fitness,2023-05-05 17:55:44
TSG Blau-Gold Gießen e.V.,35398,An der Hessenhalle 1 , 35398 Gießen,"Du tanzt gerne? Gesundheit und Fitness sind dir wichtig? Du möchtest etwas ganze Neues ausprobieren? Kampfsport ist dein Ding?
Dann bist du bei uns richtig!
Für einen Monatsbeitrag von € 25,--(tatsächlich, das sind € 6,25 pro Woche!!!!) können ALLE Angebote des Vereins wahrgenommen werden. Jeden Tag wenn ihr wollt! Z.B. mehrmals die Woche Ballett, Yoga, Hip-Hop, Zumba, Pole-Dance und zahlreiche Fitness- und Kampfsportkurse - keine Festlegung auf einen bestimmten Kurs!
Einfach eine Schnupperkarte buchen und unverbindlich ausprobieren! Einstieg jederzeit (außer Leistungskurse) möglich!
Montags Yoga, dienstags Zumba, mittwochs Jumping/Trampolin, donnerstags Fitness, freitags Ballett und Kampfsport, sonntags Salsa+Bachata, jeden Tag Pole Dance oder Aerial Hoop - alle Kombinationen sind möglich!
Vergleicht Angebotsvielfalt, Preis und Leistung mit anderen Vereinen, Fitness-Studios, Tanzschulen, Ballettschulen, Yoga- und Pole-Studios, Kampfsportschulen +++ und beachtet, dass ihr in all unsere Kursen von ausgebildeten Fachkräften betreut werdet! Wir bieten in fast 70 Angeboten über 170 Kurse in der Woche an!!!",0,4.7,102 Rezensionen, tsg-giessen@gmx.de,http://www.tsg-giessen.de,0,https://www.eversports.de/s/tsg-blau-gold-giessen-ev,2023-05-05 17:55:44
PoleathletiX,29227,Industriestraße 10 , 29227 Celle,"Du liebst das Tanzen und Poledance, oder bist auf der Suche nach einem idealen Ort, um diesen Sport zu erlernen und zu trainieren? Dann bist du beim PoleathtetiX in Altencelle genau richtig, denn hier bekommst du die Möglichkeit, in einer angenehmen und motivierenden Atmosphäre, Poledance mithilfe von professioneller Betreuung zu erlernen! Dafür stehen dir im PoleathletiX zahlreiche Poledance-Stangen zur Verfügung. Komme ins PoleathletiX und erreiche hier deine persönlichen Trainingsziele!",0,4.9,29 Rezensionen, mail@poleathletix.de,http://www.poleathletix.de,+4915111003331,https://www.eversports.de/s/poleathletix,2023-05-05 17:55:45
Pole Paradise,50739,Ravensburgerstraße 110-112, 50739 Köln,"Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen",0,4.9,61 Rezensionen, poleparadise@gmx.de,https://www.pole-paradise.com,+491774616007,https://www.eversports.de/s/pole-paradise,2023-05-05 17:55:45
Pole for Soul GbR,34125,Die Schlagd 1, 34125 Kassel,"Dein Studio für Poledance, Tanz, Aerial Hoop & Aerial Yoga
Du bist gelangweilt vom Fitnessstudio, möchtest aber endlich gesünder und aktiver leben und dich in deinem Körper wohlfühlen - ihn akzeptieren und vielleicht sogar lieben? Dann ist Pole for Soul die erste Adresse für dich!
Direkt in Kassel bieten wir dir ein ganz besonderes Workout an der Stange, im Ring oder im Tuch.
Wir bieten die schönste Art und Weise deine Ziele zu erreichen: Poledance, Aerial Hoop und Aerial Yoga sowie professionelles Stretching und Kraftaufbaukurse. Unsere Mission ist es auf einzigartige Weise deinen Lifestyle mit dir zu entdecken. Dafür verbinden wir Tanz, Ausdruck, Fitness und Sinnlichkeit in einem einzigartigen Workout.
​Pole for Soul – dein Pole Home in Kassel.",0,5.0,19 Rezensionen, info@poleforsoul.de,http://www.poleforsoul.com,0176 56826749,https://www.eversports.de/s/pole-for-soul-gbr,2023-05-05 17:55:46
poda Studio,52062,Martinstraße 10-12 , 52062 Aachen,"Flieg mit uns! Poda ist das größte Pole Dance & Luftakrobatik Studio in Aachen und der Euregio. Neben Pole Dance / Pole Sport Kursen bieten wir auch Luftakrobatik, Tanzkurse wie Chair Dance, High Heels & Floorwork sowie Fitness, Yoga und Flexibility Kurse ohne Stange und Online Kurse an. Ob Probestunden, 10er-Karten oder Abos, Privatstunden, Workshops, Pole Parties, Junggesellinnen - Abschiede oder Pole Shows - wir haben für jeden das richtige Angebot.",0,4.9,47 Rezensionen, info@podastudio.de,https://www.podastudio.de/,+49241 95719917,https://www.eversports.de/s/poda-studio,2023-05-05 17:55:46
Body meets Soul Leipzig,04159,Hüfnerstraße , 04159 Leipzig,"„Sorge dich gut um deinen Körper. Es ist der einzige Ort, den du zum Leben hast.“
– Jim Rohn –
Bei BodymeetsSoul steht nicht nur dein Körper im Mittelpunkt. Körper und Geist sind untrennbar miteinander verbunden. Egal ob Yoga oder/und Poledance – ich biete dir Bewegung bei gleichzeitiger Entschleunigung. Ich helfe dir, an deine Grenzen zu gehen, sie zu respektieren und mit ihnen zu spielen. Fordere dich, aber überfordere dich nicht. Du bist verantwortlich für deinen Erfolg – ich für den Prozess.",0,5.0,6 Rezensionen, info@bodymeetssoul-leipzig.de,http://www.bodymeetssoul-leipzig.de,+49  1573 1360379,https://www.eversports.de/s/body-meets-soul-leipzig,2023-05-05 17:55:47
Royal Pole,3011,Waaghausgasse 3 , 3011 Bern,"HERZLICH WILLKOMMEN BEI UNS IM ROYAL POLE!
Bist du auf der Suche nach einer neuen herausfordernden sportlichen Leidenschaft, bei der der Spassfaktor immer noch vorhanden bleibt und es dir nicht langweilig wird? Dann bist du bei uns goldrichtig! Royal Pole gibt dir nämlich nicht nur die Möglichkeit neue spannende und vielfältige Luftdisziplinen kennen zu lernen, sondern auch Dich selbst und Deine körperlichen Leistungen neu zu entdecken und zu entfalten!
Unser super motiviertes Team von qualifizierten und erfahrenen Instruktorinnen begleitet und unterstützt dich professionell, kompetent und mit grosser Leidenschaft und Sympathie in dieser Entdeckungsreise der Poledance und der Luftakrobatikdisziplinen. Egal ob du alt oder jung bist, weiblich oder männlich, sportlich oder nicht, bei uns sind alle willkommen: denn Pole, Hoop, Silks, Tanz und Beweglichkeit haben kein Alter, wenn man der Überzeugug ist, Bewegung hält den Körper und die Seele jung!
In unserem stilvoll und hochwertig ausgestattetem Pole Dance Studio sind Qualität, Sicherheit und individuelle Förderung gross geschrieben: unsere grosszügigen 90 Min. Lektionen, eine maximale Teilnehmeranzahl von 8-9 Personen und Kurse in denen du deine Stange nur für Dich hast und sie nicht teilen musst stellen sicher, dass wir unseren Grundsätzen gerecht werden.
Wir werden dich vielleicht mal an deine Grenzen bringen, ganz sicher aber, werden wir dich so an deine Ziele bringen! ;-)
Na, Lust bekommen bei uns mal reinzuschauen? Dann denk nicht mehr lange nach und melde Dich gleich für eine Probelektion an, denn bereits hier erwartet dich der erste Vorteil: du zahlst für deine erste nur 5 Franken!
Helga & das ganze RP-Team",0,4.9,17 Rezensionen, info@royalpole.ch,http://www.royalpole.ch/,0,https://www.eversports.de/s/royal-pole,2023-05-05 17:55:47
Center of Moving Arts,64625,Fabrikstraße 21, 64625 Bensheim,"Das Center of Moving Arts liegt 100m entfernt vom Edeka Jakobi Center in Bensheim.
Das Studio hat 3 Tanzräume und eine gemütliche Bar mit über 700qm. Liebevoll eingerichtet mit einer Lounge erwartet dich ein Tanzzentrum mit Stil und Charme im ""Industrial - Look"". Du kannst frei nach belieben Kurse wie Pole-Dance, Aerial Hoop, Hip Hop / New Style / Millennium Classes / Videoclip, Jazz / Modern / Contemporary, Bungee Dance und Yoga buchen. Die ausnahmslos professionell ausgebildete Dance-Coaches sorgen in jedem Style für Energie, Niveau und Spaß.
Du erreichst das Center of Moving Arts zu Fuß in 10min vom Hauptbahnhof und hast direkt vor unserem Center Parkmöglichkeiten.",0,4.9,18 Rezensionen, info@center-of-moving-arts.de,http://www.center-of-moving-arts.de,+4962519447196,https://www.eversports.de/s/center-of-moving-arts,2023-05-05 17:55:48
AIRobics,22081,Holsteinischer Kamp 58 , 22081 Hamburg,"Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!",0,4.9,45 Rezensionen, dance@airobics.de,https://airobics.de/,+49 15117626559,https://www.eversports.de/s/airobics,2023-05-05 17:55:49
BALANCE Neumarkt,92318,Deininger Weg 94 , 92318 Neumarkt in der Oberpfalz,"BALANCE Neumarkt ist ein Kursstudio mit einem sehr breiten Online- und Studioprogramm. Es befindet sich in Neumarkt in der Oberpfalz, unweit von der Bushaltestelle Regensburger Straße. Angeboten werden Tanzkurse (Jazz Dance, Dance Kids, Streedance & Funky Jazz), Poledance, Yoga, Pilates, Sings und vieles mehr. Bei BALANCE Neumarkt werden sowohl regelmäßige Klassen als auch aufbauende Kurse und einmalige Workshops angeboten. Seit 2020 steht allen Kunden eine Online-Videothek zur Verfügung. Videos können einzeln gekauft oder mit dem entsprechenden Service erworben werden.",0,4.9,92 Rezensionen, studio@balance-neumarkt.de,http://www.balance-neumarkt.de,+49 160 80 20 246,https://www.eversports.de/s/balance-neumarkt,2023-05-05 17:55:50
aerialflow,45894,Pfefferackerstraße 2A , 45894 Gelsenkirchen,"Das aerialflow in Gelsenkirchen-Buer lädt dich herzlich zu schweißtreibenden Trainingseinheiten in modernem Ambiente ein. Hier wird dir maximaler Trainingserfolg durch Training in kleinen Lerngruppen mit professioneller Betreuung gewährleistet. Egal, ob Yoga, Poledance, Tanzen oder Fitnessworkouts - belege verschiedenste Kurse für unterschiedliche Niveauklassen und arbeite hochintensiv und effektiv an deinen persönlichen Trainingszielen. Komme ins aerialflow und trainiere hier über den Dächern von Gelsenkirchen-Buer in einer angenehmen und motivierenden Atmosphäre!",0,4.8,48 Rezensionen, info@aerialflow.de,http://www.aerialflow.de,+49 (0) 209 88000403,https://www.eversports.de/s/aerialflow,2023-05-05 17:55:50
